title,publication_date,producing_office,url,page_count,original_classification,filename
"Cold War Era Hard Target Analysis Of Soviet And Chinese Policy And Decision Making, 1953-1973",2007-06-21,CIA Historical Collections,https://www.cia.gov/readingroom/docs/overview.pdf,6,UNCLASSIFIED,overview.pdf
Communist China'S Domestic Crisis: The Road To 1964,1964-07-31,OCI,https://www.cia.gov/readingroom/docs/polo-10.pdf,200,Secret,polo-10.pdf
"Indications Of Soviet Awareness Of Chinese Plans For The Communes, Spring-Summer 1958",1959-10-16,OCI,https://www.cia.gov/readingroom/docs/esau-06.pdf,43,Secret,esau-06.pdf
Khrushchev On Nuclear Strategy,1960-01-19,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/caesar-26.pdf,41,Secret,caesar-26.pdf
Mao Tse-Tung And Historical Materialism,1961-04-10,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/polo-01.pdf,32,Official Use Only,polo-01.pdf
"Mao Tse-Tung And Historical Materialism Ii. The State Form (""People'S Democratic Dictatorship"")",1961-06-29,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/polo-02.pdf,25,Official Use Only,polo-02.pdf
"Mao Tse-Tung And Historical Materialism, Iii. ""Contradictions"" In A ""Socialist"" Society",1961-10-20,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/polo-04.pdf,25,Official Use Only,polo-04.pdf
"Mao Tse-Tung And Historical Materialism Iv. The ""Transition To Socialism""",1961-10-09,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/polo-03.pdf,34,Official Use Only,polo-03.pdf
"Mao Tse-Tung On Strategy, 1926-1957 (The Background Of The Sino-Soviet Dispute Of 1957-1960)",1960-08-08,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/esau-09.pdf,56,Secret,esau-09.pdf
North Vietnam And Sino-Soviet Relations,1962-03-04,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/esau-17.pdf,42,Secret,esau-17.pdf
"Origins Of The Chinese ""Commune"" Program",1959-07-17,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/esau-01.pdf,34,Secret,esau-01.pdf
Sino-Soviet Competition In North Korea,1961-04-05,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/esau-14.pdf,20,Secret,esau-14.pdf
"Soviet - Albanian Relations, 1940-1960",1962-06-22,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/esau-19.pdf,79,Top Secret,esau-19.pdf
Soviet Military Thought On Future War,1962-04-03,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/caesar-29.pdf,63,Confidential,caesar-29.pdf
Soviet Policy Toward The Underdeveloped Countries,1961-04-28,OCI,https://www.cia.gov/readingroom/docs/caesar-28.pdf,122,Secret,caesar-28.pdf
"Soviet Positions On The ""Transition To Communism"" --Prior To The Chinese Commune Program",1959-08-28,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/esau-04.pdf,34,Secret,esau-04.pdf
Soviet Strategic Doctrine For The Start Of War,1962-07-03,OFFICE OF CURRENT INTELLIGENCE,https://www.cia.gov/readingroom/docs/caesar-31.pdf,44,Top Secret,caesar-31.pdf
The Chinese Communist Impact On East Germany,1960-04-15,CURRENT INTELLIGENCE STAFF,https://www.cia.gov/readingroom/docs/esau-07.pdf,41,Secret,esau-07.pdf
"The Chinese Communist Leadership, 1958-1961",1961-11-28,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/polo-05.pdf,126,Secret,polo-05.pdf
"The Commune, The ""Great Leap Forward,"" And Sino-Soviet Relations (August-December 1958)",1960-06-15,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/esau-08.pdf,149,Secret,esau-08.pdf
The Commune: Conception And Experimentation,1958-03-01,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/esau-02.pdf,25,SECRET,esau-02.pdf
"The Commune: Revelation And Initial Organization, Summer 1958",1959-09-04,Office of Current Intelligence,https://www.cia.gov/readingroom/docs/esau-05.pdf,19,Secret,esau-05.pdf
The Japanese Communist Party 1955 - 1963,1964-03-20,OCI,https://www.cia.gov/readingroom/docs/esau-23.pdf,115,Secret,esau-23.pdf
